shape,n,cbor_bytes,json_bytes,size_ratio,cbor_enc_us,json_enc_us,cbor_dec_us,json_dec_us,cbor_rt_per_s,json_rt_per_s
dom,7,1421,1531,0.9282,1.56,1.83,3.46,3.53,199065.6,186465.8
dom,43,8783,9477,0.9268,5.75,8.44,19.73,21.94,39238.8,32924.5
dom,187,38391,41441,0.9264,25.40,35.77,91.34,103.57,8565.8,7176.8
dom,907,187363,201785,0.9285,138.61,191.81,441.87,627.94,1722.7,1219.9
dom,2851,591623,637705,0.9277,386.01,539.00,1399.24,1615.98,560.1,464.0
dom,6739,1400327,1512505,0.9258,763.20,1299.42,3149.44,3579.35,255.6,205.0
dom,17107,3563979,3851745,0.9253,2011.17,3386.32,10587.55,13516.54,79.4,59.2
dom,24883,5189163,5616897,0.9238,3789.26,5169.37,12517.31,13807.36,61.3,52.7
dom,40435,8439531,9147201,0.9226,5310.81,8353.10,19462.18,23184.00,40.4,31.7
dom,55987,11689899,12677505,0.9221,8031.75,13325.93,27364.63,31865.74,28.3,22.1
numeric,256,6448,5597,1.1520,6.52,10.46,7.34,11.76,72164.6,44998.6
numeric,1024,25765,22385,1.1510,17.68,31.24,27.83,46.59,21972.3,12847.6
numeric,4096,103033,89543,1.1507,68.56,123.48,112.40,183.75,5525.9,3254.9
numeric,16384,412145,358199,1.1506,265.29,490.25,651.69,1061.53,1090.5,644.4
numeric,65536,1648625,1432979,1.1505,1336.09,2898.21,2764.59,3996.97,243.9,145.0
numeric,200000,5030150,4371929,1.1506,4865.45,8374.79,7206.67,13725.42,82.8,45.2
binary,1024,1072,3708,0.2891,0.43,6.54,0.31,14.58,1356690.8,47355.5
binary,16384,16432,58546,0.2807,1.38,66.63,0.36,141.61,572673.0,4802.1
binary,131072,131122,468020,0.2802,2.03,507.38,1.80,1147.03,260981.0,604.4
binary,1048576,1048626,3743787,0.2801,33.37,4073.04,15.51,8948.12,20457.9,76.8
binary,3500000,3500050,12496145,0.2801,583.12,14329.53,95.87,40084.10,1472.8,18.4
